Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
1995-96,02-09-1995,La Coruna,Valencia,3,0,H,2,0,H
1995-96,02-09-1995,Sp Gijon,Albacete,3,0,H,3,0,H
1995-96,03-09-1995,Ath Bilbao,Santander,4,0,H,2,0,H
1995-96,03-09-1995,Ath Madrid,Sociedad,4,1,H,1,1,D
1995-96,03-09-1995,Celta,Compostela,0,1,A,0,0,D
1995-96,03-09-1995,Espanol,Salamanca,3,1,H,2,1,H
1995-96,03-09-1995,Merida,Betis,1,1,D,1,1,D
1995-96,03-09-1995,Sevilla,Tenerife,0,1,A,0,0,D
1995-96,03-09-1995,Valladolid,Barcelona,0,2,A,0,0,D
1995-96,03-09-1995,Vallecano,Real Madrid,1,5,A,0,1,A
1995-96,03-09-1995,Zaragoza,Oviedo,1,0,H,1,0,H
1995-96,09-09-1995,Albacete,Sevilla,3,2,H,2,1,H
1995-96,09-09-1995,Barcelona,Merida,2,2,D,1,1,D
1995-96,09-09-1995,Betis,Zaragoza,3,1,H,2,0,H
1995-96,09-09-1995,Real Madrid,Ath Bilbao,1,2,A,0,0,D
1995-96,10-09-1995,Compostela,La Coruna,4,0,H,2,0,H
1995-96,10-09-1995,Oviedo,Vallecano,2,0,H,1,0,H
1995-96,10-09-1995,Salamanca,Celta,0,1,A,0,0,D
1995-96,10-09-1995,Santander,Ath Madrid,0,4,A,0,0,D
1995-96,10-09-1995,Sociedad,Sp Gijon,2,0,H,1,0,H
1995-96,10-09-1995,Tenerife,Espanol,1,4,A,0,2,A
1995-96,10-09-1995,Valencia,Valladolid,1,0,H,0,0,D
1995-96,16-09-1995,Ath Bilbao,Ath Madrid,0,2,A,0,1,A
1995-96,17-09-1995,Celta,Tenerife,2,2,D,2,2,D
1995-96,17-09-1995,Espanol,Albacete,1,0,H,0,0,D
1995-96,17-09-1995,La Coruna,Salamanca,2,0,H,1,0,H
1995-96,17-09-1995,Merida,Valencia,0,2,A,0,0,D
1995-96,17-09-1995,Real Madrid,Oviedo,2,3,A,2,2,D
1995-96,17-09-1995,Sevilla,Sociedad,2,1,H,1,1,D
1995-96,17-09-1995,Sp Gijon,Santander,4,2,H,2,1,H
1995-96,17-09-1995,Valladolid,Compostela,0,0,D,0,0,D
1995-96,17-09-1995,Vallecano,Betis,1,2,A,1,1,D
1995-96,17-09-1995,Zaragoza,Barcelona,0,3,A,0,0,D
1995-96,23-09-1995,Barcelona,Vallecano,2,0,H,1,0,H
1995-96,23-09-1995,Betis,Real Madrid,0,0,D,0,0,D
1995-96,23-09-1995,Santander,Sevilla,1,1,D,1,1,D
1995-96,24-09-1995,Albacete,Celta,4,0,H,0,0,D
1995-96,24-09-1995,Ath Madrid,Sp Gijon,2,0,H,1,0,H
1995-96,24-09-1995,Compostela,Merida,1,0,H,1,0,H
1995-96,24-09-1995,Oviedo,Ath Bilbao,0,0,D,0,0,D
1995-96,24-09-1995,Salamanca,Valladolid,0,0,D,0,0,D
1995-96,24-09-1995,Sociedad,Espanol,0,1,A,0,1,A
1995-96,24-09-1995,Tenerife,La Coruna,1,1,D,0,0,D
1995-96,24-09-1995,Valencia,Zaragoza,0,0,D,0,0,D
1995-96,30-09-1995,Ath Bilbao,Sp Gijon,2,1,H,1,0,H
1995-96,30-09-1995,Real Madrid,Barcelona,1,1,D,1,1,D
1995-96,01-10-1995,Celta,Sociedad,1,1,D,1,1,D
1995-96,01-10-1995,Espanol,Santander,1,0,H,0,0,D
1995-96,01-10-1995,La Coruna,Albacete,5,0,H,1,0,H
1995-96,01-10-1995,Merida,Salamanca,0,0,D,0,0,D
1995-96,01-10-1995,Oviedo,Betis,0,1,A,0,1,A
1995-96,01-10-1995,Sevilla,Ath Madrid,0,0,D,0,0,D
1995-96,01-10-1995,Valladolid,Tenerife,3,0,H,2,0,H
1995-96,01-10-1995,Vallecano,Valencia,3,2,H,0,0,D
1995-96,01-10-1995,Zaragoza,Compostela,1,0,H,1,0,H
1995-96,04-10-1995,Albacete,Valladolid,4,2,H,2,1,H
1995-96,04-10-1995,Barcelona,Oviedo,4,1,H,3,0,H
1995-96,04-10-1995,Betis,Ath Bilbao,0,0,D,0,0,D
1995-96,04-10-1995,Compostela,Vallecano,1,0,H,1,0,H
1995-96,04-10-1995,Salamanca,Zaragoza,0,1,A,0,1,A
1995-96,04-10-1995,Santander,Celta,2,1,H,1,1,D
1995-96,04-10-1995,Sociedad,La Coruna,2,1,H,1,1,D
1995-96,04-10-1995,Sp Gijon,Sevilla,3,1,H,1,1,D
1995-96,04-10-1995,Tenerife,Merida,1,0,H,1,0,H
1995-96,04-10-1995,Valencia,Real Madrid,4,3,H,3,0,H
1995-96,05-10-1995,Ath Madrid,Espanol,2,1,H,1,1,D
1995-96,07-10-1995,Betis,Barcelona,1,5,A,0,2,A
1995-96,08-10-1995,Ath Bilbao,Sevilla,1,1,D,0,0,D
1995-96,08-10-1995,Celta,Ath Madrid,0,3,A,0,1,A
1995-96,08-10-1995,Espanol,Sp Gijon,0,0,D,0,0,D
1995-96,08-10-1995,La Coruna,Santander,2,3,A,0,1,A
1995-96,08-10-1995,Merida,Albacete,1,1,D,0,0,D
1995-96,08-10-1995,Oviedo,Valencia,0,1,A,0,0,D
1995-96,08-10-1995,Real Madrid,Compostela,2,1,H,2,1,H
1995-96,08-10-1995,Valladolid,Sociedad,3,0,H,0,0,D
1995-96,08-10-1995,Vallecano,Salamanca,1,4,A,0,0,D
1995-96,08-10-1995,Zaragoza,Tenerife,0,2,A,0,0,D
1995-96,14-10-1995,Ath Madrid,La Coruna,1,0,H,1,0,H
1995-96,14-10-1995,Barcelona,Ath Bilbao,4,1,H,1,0,H
1995-96,14-10-1995,Sevilla,Espanol,0,3,A,0,2,A
1995-96,14-10-1995,Valencia,Betis,1,1,D,1,1,D
1995-96,15-10-1995,Albacete,Zaragoza,0,1,A,0,0,D
1995-96,15-10-1995,Compostela,Oviedo,4,1,H,2,1,H
1995-96,15-10-1995,Salamanca,Real Madrid,0,2,A,0,1,A
1995-96,15-10-1995,Santander,Valladolid,0,0,D,0,0,D
1995-96,15-10-1995,Sociedad,Merida,1,2,A,0,1,A
1995-96,15-10-1995,Sp Gijon,Celta,1,0,H,0,0,D
1995-96,15-10-1995,Tenerife,Vallecano,2,2,D,0,0,D
1995-96,21-10-1995,Valladolid,Ath Madrid,0,1,A,0,0,D
1995-96,22-10-1995,Ath Bilbao,Espanol,0,0,D,0,0,D
1995-96,22-10-1995,Barcelona,Valencia,1,0,H,0,0,D
1995-96,22-10-1995,Betis,Compostela,5,0,H,2,0,H
1995-96,22-10-1995,Celta,Sevilla,4,0,H,1,0,H
1995-96,22-10-1995,La Coruna,Sp Gijon,1,0,H,1,0,H
1995-96,22-10-1995,Merida,Santander,3,1,H,3,1,H
1995-96,22-10-1995,Oviedo,Salamanca,2,2,D,1,0,H
1995-96,22-10-1995,Real Madrid,Tenerife,2,0,H,1,0,H
1995-96,22-10-1995,Vallecano,Albacete,2,0,H,0,0,D
1995-96,22-10-1995,Zaragoza,Sociedad,1,2,A,0,1,A
1995-96,28-10-1995,Albacete,Real Madrid,1,1,D,0,1,A
1995-96,28-10-1995,Compostela,Barcelona,2,1,H,0,1,A
1995-96,28-10-1995,Sevilla,La Coruna,0,0,D,0,0,D
1995-96,29-10-1995,Ath Madrid,Merida,1,1,D,0,1,A
1995-96,29-10-1995,Espanol,Celta,2,2,D,1,0,H
1995-96,29-10-1995,Salamanca,Betis,2,1,H,1,1,D
1995-96,29-10-1995,Santander,Zaragoza,0,0,D,0,0,D
1995-96,29-10-1995,Sociedad,Vallecano,2,1,H,1,0,H
1995-96,29-10-1995,Sp Gijon,Valladolid,4,2,H,1,2,A
1995-96,29-10-1995,Tenerife,Oviedo,3,3,D,1,0,H
1995-96,29-10-1995,Valencia,Ath Bilbao,3,1,H,2,0,H
1995-96,04-11-1995,Real Madrid,Sociedad,3,2,H,1,0,H
1995-96,05-11-1995,Ath Bilbao,Celta,3,0,H,2,0,H
1995-96,05-11-1995,Barcelona,Salamanca,4,1,H,3,0,H
1995-96,05-11-1995,Betis,Tenerife,3,3,D,2,1,H
1995-96,05-11-1995,La Coruna,Espanol,0,1,A,0,0,D
1995-96,05-11-1995,Merida,Sp Gijon,1,0,H,1,0,H
1995-96,05-11-1995,Oviedo,Albacete,1,0,H,0,0,D
1995-96,05-11-1995,Valencia,Compostela,5,2,H,2,1,H
1995-96,05-11-1995,Valladolid,Sevilla,3,3,D,2,2,D
1995-96,05-11-1995,Vallecano,Santander,1,2,A,0,1,A
1995-96,05-11-1995,Zaragoza,Ath Madrid,0,1,A,0,0,D
1995-96,11-11-1995,Celta,La Coruna,0,0,D,0,0,D
1995-96,12-11-1995,Albacete,Betis,0,0,D,0,0,D
1995-96,12-11-1995,Ath Madrid,Vallecano,0,0,D,0,0,D
1995-96,12-11-1995,Compostela,Ath Bilbao,2,1,H,0,1,A
1995-96,12-11-1995,Espanol,Valladolid,2,0,H,2,0,H
1995-96,12-11-1995,Salamanca,Valencia,4,0,H,2,0,H
1995-96,12-11-1995,Santander,Real Madrid,2,0,H,2,0,H
1995-96,12-11-1995,Sevilla,Merida,3,0,H,1,0,H
1995-96,12-11-1995,Sociedad,Oviedo,1,1,D,1,0,H
1995-96,12-11-1995,Sp Gijon,Zaragoza,4,1,H,3,0,H
1995-96,12-11-1995,Tenerife,Barcelona,1,1,D,0,1,A
1995-96,18-11-1995,Barcelona,Albacete,3,0,H,1,0,H
1995-96,18-11-1995,Betis,Sociedad,3,1,H,1,0,H
1995-96,18-11-1995,Real Madrid,Ath Madrid,1,0,H,1,0,H
1995-96,18-11-1995,Zaragoza,Sevilla,0,1,A,0,0,D
1995-96,19-11-1995,Ath Bilbao,La Coruna,1,0,H,,,
1995-96,19-11-1995,Compostela,Salamanca,0,0,D,0,0,D
1995-96,19-11-1995,Merida,Espanol,0,1,A,0,0,D
